Source,Target,Type,Weight
27317182,29928571,Directed,1
27317182,63129578,Directed,1
27317182,14687587,Directed,1
27317182,22415635,Directed,1
27317182,32535843,Directed,1
27317182,37665779,Directed,1
27317182,45565446,Directed,1
27317182,34656014,Directed,1
27317182,34941106,Directed,1
27317182,16432083,Directed,1
27317182,21423985,Directed,1
28361716,26214264,Directed,1
28361716,319228928,Directed,1
28361716,20679622,Directed,1
28361716,20868447,Directed,1
28361716,279131939,Directed,1
28361716,22415635,Directed,1
28361716,20301193,Directed,1
28361716,37677256,Directed,1
28361716,27317182,Directed,1
28361716,221822662,Directed,1
28361716,101727020,Directed,1
28361716,473914976,Directed,1
28361716,45565446,Directed,1
28361716,21423985,Directed,1
28361716,951333086,Directed,1
28361716,19764533,Directed,1
28361716,18387289,Directed,1
28361716,86154361,Directed,1
28361716,20611702,Directed,1
28361716,38260259,Directed,1
28361716,24143353,Directed,1
28361716,34941106,Directed,1
28361716,63129578,Directed,1
28361716,16432083,Directed,1
28952277,38769939,Directed,1
29928571,1454512707131084803,Directed,1
29928571,19119226,Directed,1
29928571,838111239750447104,Directed,1
29928571,1382743280,Directed,1
29928571,30941476,Directed,1
29928571,42042554,Directed,1
29928571,28361716,Directed,1
29928571,2924816561,Directed,1
29928571,225341716,Directed,1
29928571,32397331,Directed,1
29928571,2537682190,Directed,1
29928571,37665779,Directed,1
29928571,21746816,Directed,1
29928571,369395471,Directed,1
29928571,319228928,Directed,1
29928571,333903537,Directed,1
29928571,951333086,Directed,1
29928571,20611702,Directed,1
29928571,38769939,Directed,1
29928571,262164620,Directed,1
29928571,1103749050,Directed,1
29928571,23320712,Directed,1
29928571,26588415,Directed,1
29928571,524326247,Directed,1
29928571,899800400,Directed,1
29928571,86154361,Directed,1
29928571,217217458,Directed,1
29928571,419788091,Directed,1
29928571,361852315,Directed,1
29928571,19157451,Directed,1
29928571,38260259,Directed,1
29928571,279131939,Directed,1
29928571,221822662,Directed,1
29928571,18387289,Directed,1
29928571,26470805,Directed,1
29928571,195848365,Directed,1
29928571,26214264,Directed,1
29928571,34703909,Directed,1
29928571,58733138,Directed,1
29928571,26719515,Directed,1
29928571,45565446,Directed,1
29928571,24143353,Directed,1
29928571,27317182,Directed,1
29928571,28952277,Directed,1
29928571,31343887,Directed,1
29928571,20301193,Directed,1
29928571,18293645,Directed,1
29928571,16432083,Directed,1
29928571,63129578,Directed,1
29928571,63425851,Directed,1
29928571,34941106,Directed,1
29928571,39091525,Directed,1
29928571,39974570,Directed,1
29928571,14687587,Directed,1
29928571,22415635,Directed,1
30759351,907517876973834241,Directed,1
30759351,361852315,Directed,1
30759351,838111239750447104,Directed,1
30759351,1039464996575608833,Directed,1
30759351,1352156535510728709,Directed,1
30759351,234132789,Directed,1
30759351,295361148,Directed,1
30759351,2645220702,Directed,1
30759351,273638217,Directed,1
30759351,21423985,Directed,1
30759351,279131939,Directed,1
30759351,473914976,Directed,1
30759351,34656014,Directed,1
30759351,217217458,Directed,1
30759351,20611702,Directed,1
30759351,221822662,Directed,1
30759351,34941106,Directed,1
30759351,23320712,Directed,1
30759351,39091525,Directed,1
30759351,39974570,Directed,1
30759351,1382743280,Directed,1
30759351,951333086,Directed,1
30759351,58733138,Directed,1
30759351,30941476,Directed,1
30759351,27317182,Directed,1
30759351,86154361,Directed,1
30759351,2537682190,Directed,1
30759351,204525639,Directed,1
30759351,31343887,Directed,1
30759351,28361716,Directed,1
30759351,16432083,Directed,1
30759351,26588415,Directed,1
30759351,819168234,Directed,1
30759351,22415635,Directed,1
30759351,2605255273,Directed,1
30759351,2924816561,Directed,1
30759351,19157451,Directed,1
30759351,21746816,Directed,1
30759351,369395471,Directed,1
30759351,2428650736,Directed,1
30759351,26719515,Directed,1
30759351,38260259,Directed,1
30759351,20301193,Directed,1
30759351,19764533,Directed,1
30759351,29928571,Directed,1
30759351,225341716,Directed,1
30759351,1269692077,Directed,1
30759351,45565446,Directed,1
30759351,262164620,Directed,1
30759351,319228928,Directed,1
30759351,20868447,Directed,1
30759351,419788091,Directed,1
30759351,42042554,Directed,1
30759351,18387289,Directed,1
